software,file,line,coverage,original,mutated,task,Status,ExitCode_blank,ExitCode,job,Elapsed,hours,megabytes,State_batch,State_blank,State_extern,ExitCode_batch,ExitCode_extern,passed
data.table,bmerge.R,109,660,"set(callersi, j=ic, value=val)       # change the shallow copy of i up in [.data.table to reflect in the result, too.","set(callersi, value=val, j=ic)       # change the shallow copy of i up in [.data.table to reflect in the result, too.",479,1 NOTE,0:0,NOTE:installed package size,9789646,00:02:46,0.0461111111111111,982.48046875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,109,660,"set(callersi, j=ic, value=val)       # change the shallow copy of i up in [.data.table to reflect in the result, too.","set( j=ic,callersi, value=val)       # change the shallow copy of i up in [.data.table to reflect in the result, too.",481,1 NOTE,0:0,NOTE:installed package size,9789646,00:02:45,0.0458333333333333,601.00390625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,126,3069,"non_equi = which.first(ops != 1L) # 1 is """"=="""" operator","non_equi = which.first(ops > 1L) # 1 is """"=="""" operator",524,1 NOTE,0:0,NOTE:installed package size,9789646,00:02:52,0.0477777777777778,734.67578125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,172,636,if (nqmaxgrp > 1L) { # got some non-equi join work to do,if (nqmaxgrp >= 1L) { # got some non-equi join work to do,685,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:06,0.0516666666666667,734.62890625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,172,636,if (nqmaxgrp > 1L) { # got some non-equi join work to do,if (nqmaxgrp != 1L) { # got some non-equi join work to do,687,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:06,0.0516666666666667,810.9609375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,172,636,if (nqmaxgrp > 1L) { # got some non-equi join work to do,if (nqmaxgrp > 0L) { # got some non-equi join work to do,688,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:06,0.0516666666666667,848.8984375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,172,636,if (nqmaxgrp > 1L) { # got some non-equi join work to do,if (nqmaxgrp > -1L) { # got some non-equi join work to do,689,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:06,0.0516666666666667,803.01953125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,29,51754,if (isTRUE(env$.datatable.aware)) {  # dtplyr 184,"if (isTRUE(env$.datatable.aware)) {  # dtplyr 184
break;",21,"1 WARNING, 1 NOTE",0:0,"WARNING:whether package ‘data.table’ can be installed, NOTE:installed package size",9789650,00:03:28,0.0577777777777778,459.703125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,29,51754,if (isTRUE(env$.datatable.aware)) {  # dtplyr 184,"if (isTRUE(env$.datatable.aware)) {  # dtplyr 184
continue;",22,2 NOTEs,0:0,"NOTE:installed package size, NOTE:R code for possible problems",9789650,00:03:28,0.0577777777777778,459.859375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,39,18323,"""""data.table"""" %chin% names(getNamespaceImports(ns)) ||   # most common and recommended cases first for speed","""""data.table"""" %chin% names(getNamespaceImports(ns)) &&   # most common and recommended cases first for speed",47,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:37,0.0602777777777778,601.03125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,39,18323,"""""data.table"""" %chin% names(getNamespaceImports(ns)) ||   # most common and recommended cases first for speed",""""""""" %chin% names(getNamespaceImports(ns)) ||   # most common and recommended cases first for speed",50,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:26,0.0572222222222222,803.19140625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=8L && sc[[length(sc)/7L]] %iscall% 'example')) ) || # 'example' for #2972,70,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:53,0.0647222222222222,829.91015625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())==8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,71,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:52,0.0644444444444445,829.91015625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())!=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,72,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:53,0.0647222222222222,961.9921875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())<8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,73,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:53,0.0647222222222222,953.55078125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,74,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:27,0.0575,429.453125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())<=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,80,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:29,0.0580555555555556,290.51171875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=0L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,82,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:59,0.0663888888888889,1121.90234375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=8L && sc[[length(sc)-0L]] %iscall% 'example')) ) || # 'example' for #2972,83,1 NOTE,0:0,NOTE:installed package size,9789650,00:04:00,0.0666666666666667,1121.7109375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=1L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,84,1 NOTE,0:0,NOTE:installed package size,9789650,00:04:00,0.0666666666666667,1122.02734375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=8L && sc[[length(sc)-1L]] %iscall% 'example')) ) || # 'example' for #2972,85,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:59,0.0663888888888889,1122.328125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,42,18323,(length(sc<-sys.calls())>=8L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,(length(sc<-sys.calls())>=-1L && sc[[length(sc)-7L]] %iscall% 'example')) ) || # 'example' for #2972,86,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:57,0.0658333333333333,1122.27734375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,43,18323,"(nsname==""""base"""" && all(c(""""FUN"""", """"X"""") %chin% ls(parent.frame(n)))) || # lapply","(nsname<=""""base"""" && all(c(""""FUN"""", """"X"""") %chin% ls(parent.frame(n)))) || # lapply",93,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:48,0.0633333333333333,508.765625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,43,18323,"(nsname==""""base"""" && all(c(""""FUN"""", """"X"""") %chin% ls(parent.frame(n)))) || # lapply","(nsname>=""""base"""" && all(c(""""FUN"""", """"X"""") %chin% ls(parent.frame(n)))) || # lapply",94,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:30,0.0583333333333333,431.48828125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,43,18323,"(nsname==""""base"""" && all(c(""""FUN"""", """"X"""") %chin% ls(parent.frame(n)))) || # lapply","(nsname==""""base"""" && all(c( """"X"""",""""FUN"""") %chin% ls(parent.frame(n)))) || # lapply",103,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:45,0.0625,341.82421875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,46,18323,"isTRUE(ns$.datatable.aware) ||  # As of Sep 2018: RCAS, caretEnsemble, dtplyr, rstanarm, rbokeh, CEMiTool, rqdatatable, RImmPort, BPRMeth, rlist","isTRUE(ns$.datatable.aware) &&  # As of Sep 2018: RCAS, caretEnsemble, dtplyr, rstanarm, rbokeh, CEMiTool, rqdatatable, RImmPort, BPRMeth, rlist",132,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:47,0.0463888888888889,778.69921875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",138,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:51,0.0475,829.90625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",nsname,paste(""""package"""",sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",139,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:52,0.0477777777777778,829.87109375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",sep="""":"""",nsname),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",140,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:52,0.0477777777777778,829.87109375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,inherits=FALSE,sep="""":"""")),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",141,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:52,0.0477777777777778,914.21875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),ns,error=function(e)FALSE)  # both ns$.Depends and get(.Depends) are not sufficient",142,1 NOTE,0:0,NOTE:installed package size,9789650,00:02:52,0.0477777777777778,905.0859375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(paste(""""package"""",""""data.table"""" %chin% get("""".Depends"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",143,"1 WARNING, 2 NOTEs",0:0,"WARNING:whether package ‘data.table’ can be installed, NOTE:installed package size, NOTE:R code for possible problems",9789650,00:02:52,0.0477777777777778,917.1484375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get(paste(""""package"""","""".Depends"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",144,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:33,0.0591666666666667,288.4921875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(nsname,""""package"""",sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient",145,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:34,0.0594444444444445,286.4609375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,cedta.R,47,18323,"tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(e)FALSE)  # both ns$.Depends and get(.Depends,ns) are not sufficient","tryCatch(""""data.table"""" %chin% get("""".Depends"""",paste(""""package"""",nsname,sep="""":""""),inherits=FALSE),error=function(ns,e)FALSE)  # both ns$.Depends and get(.Depends) are not sufficient",146,1 NOTE,0:0,NOTE:installed package size,9789650,00:03:34,0.0594444444444445,292.15234375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,31,262,"is.ff = function(x) inherits(x, """"ff"""")  # define this in data.table so that we don't have to require(ff), but if user is using ff we'd like it to work","is.ff = function(x) inherits(x, """""""")  # define this in data.table so that we don't have to require(ff), but if user is using ff we'd like it to work",49,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:45,0.0625,843.41796875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,60,52,if (length(x)==1L && (is.null(x[[1L]]) || (is.list(x[[1L]]) && length(x[[1L]])==0L))) return( null.data.table() ) #48,if (length(x)<=1L && (is.null(x[[1L]]) || (is.list(x[[1L]]) && length(x[[1L]])==0L))) return( null.data.table() ) #48,98,1 NOTE,0:0,NOTE:installed package size,9793215,00:12:39,0.210833333333333,1241.76953125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,60,52,if (length(x)==1L && (is.null(x[[1L]]) || (is.list(x[[1L]]) && length(x[[1L]])==0L))) return( null.data.table() ) #48,if (length(x)==1L && (is.null(x[[1L]]) || (is.list(x[[1L]]) && length(x[[1L]])<=0L))) return( null.data.table() ) #48,99,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:38,0.0605555555555556,290.73828125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,61,4160,"ans = as.data.table.list(x, keep.rownames=keep.rownames, check.names=check.names, .named=nd$.named)  # see comments inside as.data.table.list re copies","ans = as.data.table.list(x, check.names=check.names, keep.rownames=keep.rownames, .named=nd$.named)  # see comments inside as.data.table.list re copies",123,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:20,0.0555555555555556,360.94140625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,61,4160,"ans = as.data.table.list(x, keep.rownames=keep.rownames, check.names=check.names, .named=nd$.named)  # see comments inside as.data.table.list re copies","ans = as.data.table.list(x, keep.rownames=keep.rownames, .named=nd$.named, check.names=check.names)  # see comments inside as.data.table.list re copies",124,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:34,0.0594444444444445,287.8125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,61,4160,"ans = as.data.table.list(x, keep.rownames=keep.rownames, check.names=check.names, .named=nd$.named)  # see comments inside as.data.table.list re copies","ans = as.data.table.list( keep.rownames=keep.rownames,x, check.names=check.names, .named=nd$.named)  # see comments inside as.data.table.list re copies",125,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:41,0.0613888888888889,291.62109375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,149,20,"ans = if (Nargs<3L) { `[.data.frame`(x,i) }  # drop ignored anyway by DF[i]","ans = if (Nargs!=3L) { `[.data.frame`(x,i) }  # drop ignored anyway by DF[i]",412,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:53,0.0647222222222222,766.6875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,153,36,"if (!missing(i) && is.data.table(ans)) setkey(ans, NULL)  # drops index too; tested by plyr::arrange test in other.Rraw","if (!missing(i) || is.data.table(ans)) setkey(ans, NULL)  # drops index too; tested by plyr::arrange test in other.Rraw",427,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:20,0.0555555555555556,282.51171875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,153,36,"if (!missing(i) && is.data.table(ans)) setkey(ans, NULL)  # drops index too; tested by plyr::arrange test in other.Rraw","if (missing(i) && is.data.table(ans)) setkey(ans, NULL)  # drops index too; tested by plyr::arrange test in other.Rraw",428,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:29,0.0580555555555556,423.234375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,data.table.R,185,50122,bynull = !missingby && is.null(by) #3530,bynull = missingby && is.null(by) #3530,536,1 NOTE,0:0,NOTE:installed package size,9793215,00:03:27,0.0575,421.35546875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
